millis,stamp,datetime,motion
1000, 2272837585, 2165/165/165 165:165:85, Active
1999, 2272837585, 2165/165/165 165:165:85, Active
2999, 2272837585, 2165/165/165 165:165:85, Active
3999, 2272837585, 2165/165/165 165:165:85, Active
4999, 2272837585, 2165/165/165 165:165:85, Active
5999, 2272837585, 2165/165/165 165:165:85, Active
6999, 2272837585, 2165/165/165 165:165:85, Active
7999, 2272837585, 2165/165/165 165:165:85, Inactive
8999, 2272837585, 2165/165/165 165:165:85, Inactive
9999, 2272837585, 2165/165/165 165:165:85, Inactive
10999, 2272837585, 2165/165/165 165:165:85, Inactive
11999, 2272837585, 2165/165/165 165:165:85, Inactive
12999, 2272837585, 2165/165/165 165:165:85, Inactive
13999, 2272837585, 2165/165/165 165:165:85, Inactive
14999, 2272837585, 2165/165/165 165:165:85, Inactive
16000, 2272837585, 2165/165/165 165:165:85, Inactive
16999, 2272837585, 2165/165/165 165:165:85, Inactive
17999, 2272837585, 2165/165/165 165:165:85, Inactive
18999, 2272837585, 2165/165/165 165:165:85, Active
19999, 2272837585, 2165/165/165 165:165:85, Active
21000, 2272837585, 2165/165/165 165:165:85, Active
21998, 2272837585, 2165/165/165 165:165:85, Active
22999, 2272837585, 2165/165/165 165:165:85, Active
23999, 2272837585, 2165/165/165 165:165:85, Active
24999, 2272837585, 2165/165/165 165:165:85, Active
25999, 2272837585, 2165/165/165 165:165:85, Active
26999, 2272837585, 2165/165/165 165:165:85, Active
27999, 2272837585, 2165/165/165 165:165:85, Active
28999, 2272837585, 2165/165/165 165:165:85, Active
29999, 2272837585, 2165/165/165 165:165:85, Active
30999, 2272837585, 2165/165/165 165:165:85, Inactive
32000, 2272837585, 2165/165/165 165:165:85, Inactive
32999, 2272837585, 2165/165/165 165:165:85, Inactive
33999, 2272837585, 2165/165/165 165:165:85, Inactive
34999, 2272837585, 2165/165/165 165:165:85, Active
35999, 2272837585, 2165/165/165 165:165:85, Active
36999, 2272837585, 2165/165/165 165:165:85, Active
37999, 2272837585, 2165/165/165 165:165:85, Active
38999, 2272837585, 2165/165/165 165:165:85, Active
39999, 2272837585, 2165/165/165 165:165:85, Active
40999, 2272837585, 2165/165/165 165:165:85, Active
41998, 2272837585, 2165/165/165 165:165:85, Active
42999, 2272837585, 2165/165/165 165:165:85, Active
43999, 2272837585, 2165/165/165 165:165:85, Inactive
44999, 2272837585, 2165/165/165 165:165:85, Inactive
46000, 2272837585, 2165/165/165 165:165:85, Inactive
46999, 2272837585, 2165/165/165 165:165:85, Inactive
48000, 2272837585, 2165/165/165 165:165:85, Inactive
48999, 2272837585, 2165/165/165 165:165:85, Inactive
49999, 2272837585, 2165/165/165 165:165:85, Active
50999, 2272837585, 2165/165/165 165:165:85, Active
51999, 2272837585, 2165/165/165 165:165:85, Active
52999, 2272837585, 2165/165/165 165:165:85, Active
53999, 2272837585, 2165/165/165 165:165:85, Active
54999, 2272837585, 2165/165/165 165:165:85, Active
55999, 2272837585, 2165/165/165 165:165:85, Active
56999, 2272837585, 2165/165/165 165:165:85, Active
57999, 2272837585, 2165/165/165 165:165:85, Active
58999, 2272837585, 2165/165/165 165:165:85, Active
59999, 2272837585, 2165/165/165 165:165:85, Active
60999, 2272837585, 2165/165/165 165:165:85, Active
61999, 2272837585, 2165/165/165 165:165:85, Active
62999, 2272837585, 2165/165/165 165:165:85, Active
64000, 2272837585, 2165/165/165 165:165:85, Inactive
64999, 2272837585, 2165/165/165 165:165:85, Inactive
65999, 2272837585, 2165/165/165 165:165:85, Inactive
66999, 2272837585, 2165/165/165 165:165:85, Active
67999, 2272837585, 2165/165/165 165:165:85, Active
68999, 2272837585, 2165/165/165 165:165:85, Active
69999, 2272837585, 2165/165/165 165:165:85, Active
71000, 2272837585, 2165/165/165 165:165:85, Active
71999, 2272837585, 2165/165/165 165:165:85, Active
72999, 2272837585, 2165/165/165 165:165:85, Active
73999, 2272837585, 2165/165/165 165:165:85, Active
74999, 2272837585, 2165/165/165 165:165:85, Active
75999, 2272837585, 2165/165/165 165:165:85, Active
76999, 2272837585, 2165/165/165 165:165:85, Inactive
78000, 2272837585, 2165/165/165 165:165:85, Inactive
78999, 2272837585, 2165/165/165 165:165:85, Inactive
80000, 2272837585, 2165/165/165 165:165:85, Inactive
80999, 2272837585, 2165/165/165 165:165:85, Inactive
81999, 2272837585, 2165/165/165 165:165:85, Inactive
82999, 2272837585, 2165/165/165 165:165:85, Inactive
83999, 2272837585, 2165/165/165 165:165:85, Inactive
84999, 2272837585, 2165/165/165 165:165:85, Inactive
85999, 2272837585, 2165/165/165 165:165:85, Inactive
86999, 2272837585, 2165/165/165 165:165:85, Inactive
87999, 2272837585, 2165/165/165 165:165:85, Inactive
88998, 2272837585, 2165/165/165 165:165:85, Inactive
89999, 2272837585, 2165/165/165 165:165:85, Inactive
90999, 2272837585, 2165/165/165 165:165:85, Inactive
91999, 2272837585, 2165/165/165 165:165:85, Inactive
92999, 2272837585, 2165/165/165 165:165:85, Inactive
93999, 2272837585, 2165/165/165 165:165:85, Inactive
94999, 2272837585, 2165/165/165 165:165:85, Inactive
96000, 2272837585, 2165/165/165 165:165:85, Inactive
96999, 2272837585, 2165/165/165 165:165:85, Inactive
97999, 2272837585, 2165/165/165 165:165:85, Inactive
98999, 2272837585, 2165/165/165 165:165:85, Active
99999, 2272837585, 2165/165/165 165:165:85, Active
100999, 2272837585, 2165/165/165 165:165:85, Active
101999, 2272837585, 2165/165/165 165:165:85, Active
102999, 2272837585, 2165/165/165 165:165:85, Active
103999, 2272837585, 2165/165/165 165:165:85, Active
104999, 2272837585, 2165/165/165 165:165:85, Active
105999, 2272837585, 2165/165/165 165:165:85, Active
106999, 2272837585, 2165/165/165 165:165:85, Active
107999, 2272837585, 2165/165/165 165:165:85, Active
108999, 2272837585, 2165/165/165 165:165:85, Active
109999, 2272837585, 2165/165/165 165:165:85, Active
110999, 2272837585, 2165/165/165 165:165:85, Active
112000, 2272837585, 2165/165/165 165:165:85, Active
112999, 2272837585, 2165/165/165 165:165:85, Active
113999, 2272837585, 2165/165/165 165:165:85, Active
114999, 2272837585, 2165/165/165 165:165:85, Active
115999, 2272837585, 2165/165/165 165:165:85, Active
116999, 2272837585, 2165/165/165 165:165:85, Active
117999, 2272837585, 2165/165/165 165:165:85, Active
118999, 2272837585, 2165/165/165 165:165:85, Active
119999, 2272837585, 2165/165/165 165:165:85, Inactive
120999, 2272837585, 2165/165/165 165:165:85, Inactive
121999, 2272837585, 2165/165/165 165:165:85, Inactive
122999, 2272837585, 2165/165/165 165:165:85, Inactive
123999, 2272837585, 2165/165/165 165:165:85, Inactive
124999, 2272837585, 2165/165/165 165:165:85, Inactive
125999, 2272837585, 2165/165/165 165:165:85, Inactive
126999, 2272837585, 2165/165/165 165:165:85, Inactive
127998, 2272837585, 2165/165/165 165:165:85, Inactive
128999, 2272837585, 2165/165/165 165:165:85, Inactive
129999, 2272837585, 2165/165/165 165:165:85, Inactive
130999, 2272837585, 2165/165/165 165:165:85, Active
131999, 2272837585, 2165/165/165 165:165:85, Active
132999, 2272837585, 2165/165/165 165:165:85, Active
133999, 2272837585, 2165/165/165 165:165:85, Active
134999, 2272837585, 2165/165/165 165:165:85, Active
135999, 2272837585, 2165/165/165 165:165:85, Active
136998, 2272837585, 2165/165/165 165:165:85, Active
137998, 2272837585, 2165/165/165 165:165:85, Active
138999, 2272837585, 2165/165/165 165:165:85, Active
139999, 2272837585, 2165/165/165 165:165:85, Active
140999, 2272837585, 2165/165/165 165:165:85, Active
142000, 2272837585, 2165/165/165 165:165:85, Active
142999, 2272837585, 2165/165/165 165:165:85, Active
144000, 2272837585, 2165/165/165 165:165:85, Active
