19:58:58.788 -> Humi: 55.20 %, Temp: 25.10 Celsius
19:59:00.360 -> Humidity: 57.70 %, Temp: 20.10 Celsius
19:59:02.391 -> Humidity: 57.60 %, Temp: 19.80 Celsius
19:59:04.408 -> Humidity: 57.60 %, Temp: 19.80 Celsius
19:59:06.404 -> Humidity: 57.60 %, Temp: 19.80 Celsius
19:59:08.413 -> Humidity: 57.60 %, Temp: 19.70 Celsius
19:59:10.416 -> Humidity: 57.60 %, Temp: 19.70 Celsius
19:59:12.419 -> Humidity: 57.60 %, Temp: 19.70 Celsius
19:59:14.422 -> Humidity: 57.60 %, Temp: 19.70 Celsius
19:59:16.429 -> Humidity: 57.70 %, Temp: 19.70 Celsius
19:59:18.459 -> Humidity: 57.70 %, Temp: 19.70 Celsius
19:59:20.451 -> Humidity: 57.70 %, Temp: 19.70 Celsius
19:59:22.471 -> Humidity: 57.70 %, Temp: 19.70 Celsius
19:59:24.456 -> Humidity: 57.70 %, Temp: 19.70 Celsius
19:59:26.478 -> Humidity: 57.80 %, Temp: 19.70 Celsius
19:59:28.487 -> Humidity: 57.70 %, Temp: 19.60 Celsius
19:59:30.466 -> Humidity: 57.70 %, Temp: 19.60 Celsius
19:59:32.489 -> Humidity: 57.80 %, Temp: 19.70 Celsius
19:59:34.510 -> Humidity: 57.80 %, Temp: 19.60 Celsius
19:59:36.519 -> Humidity: 57.80 %, Temp: 19.60 Celsius
19:59:38.500 -> Humidity: 57.80 %, Temp: 19.60 Celsius
19:59:40.528 -> Humidity: 57.90 %, Temp: 19.60 Celsius
19:59:42.540 -> Humidity: 57.90 %, Temp: 19.60 Celsius
19:59:44.538 -> Humidity: 57.90 %, Temp: 19.60 Celsius
19:59:46.559 -> Humidity: 57.90 %, Temp: 19.60 Celsius
19:59:48.560 -> Humidity: 57.90 %, Temp: 19.60 Celsius
19:59:50.555 -> Humidity: 57.90 %, Temp: 19.50 Celsius
19:59:52.566 -> Humidity: 57.90 %, Temp: 19.50 Celsius
19:59:54.556 -> Humidity: 57.90 %, Temp: 19.50 Celsius
19:59:56.575 -> Humidity: 58.00 %, Temp: 19.50 Celsius
19:59:58.581 -> Humidity: 58.00 %, Temp: 19.50 Celsius
20:00:00.601 -> Humidity: 58.00 %, Temp: 19.50 Celsius
20:00:02.584 -> Humidity: 58.00 %, Temp: 19.50 Celsius
20:00:04.619 -> Humidity: 58.10 %, Temp: 19.50 Celsius
20:00:06.624 -> Humidity: 58.10 %, Temp: 19.50 Celsius
20:00:08.627 -> Humidity: 58.10 %, Temp: 19.50 Celsius
20:00:10.636 -> Humidity: 58.10 %, Temp: 19.50 Celsius
20:00:12.635 -> Humidity: 58.10 %, Temp: 19.50 Celsius
20:00:14.634 -> Humidity: 58.10 %, Temp: 19.50 Celsius
20:00:16.660 -> Humidity: 58.10 %, Temp: 19.50 Celsius
20:00:18.673 -> Humidity: 58.10 %, Temp: 19.50 Celsius
20:00:20.676 -> Humidity: 58.20 %, Temp: 19.50 Celsius
20:00:22.660 -> Humidity: 58.20 %, Temp: 19.50 Celsius
20:00:24.695 -> Humidity: 58.20 %, Temp: 19.40 Celsius
20:00:26.691 -> Humidity: 58.20 %, Temp: 19.40 Celsius
20:00:28.698 -> Humidity: 58.20 %, Temp: 19.40 Celsius
20:00:30.717 -> Humidity: 58.20 %, Temp: 19.50 Celsius
20:00:32.698 -> Humidity: 58.20 %, Temp: 19.40 Celsius
20:00:34.734 -> Humidity: 58.20 %, Temp: 19.40 Celsius
20:00:36.710 -> Humidity: 58.20 %, Temp: 19.40 Celsius
20:00:38.735 -> Humidity: 58.20 %, Temp: 19.40 Celsius
20:00:40.740 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:00:42.752 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:00:44.754 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:00:46.744 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:00:48.752 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:00:50.759 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:00:52.774 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:00:54.793 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:00:56.797 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:00:58.820 -> Humidity: 58.30 %, Temp: 19.40 Celsius
20:01:00.801 -> Humidity: 58.40 %, Temp: 19.40 Celsius
20:01:02.808 -> Humidity: 58.40 %, Temp: 19.40 Celsius
20:01:04.840 -> Humidity: 58.40 %, Temp: 19.40 Celsius
20:01:06.830 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:08.833 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:10.842 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:12.867 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:14.862 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:16.865 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:18.871 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:20.891 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:22.893 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:24.884 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:26.900 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:28.911 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:30.935 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:32.941 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:34.920 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:36.942 -> Humidity: 58.50 %, Temp: 19.30 Celsius
20:01:38.935 -> Humidity: 58.50 %, Temp: 19.30 Celsius
20:01:40.968 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:42.973 -> Humidity: 58.50 %, Temp: 19.40 Celsius
20:01:44.986 -> Humidity: 59.30 %, Temp: 19.40 Celsius
20:01:46.984 -> Humidity: 61.00 %, Temp: 19.40 Celsius
20:01:48.976 -> Humidity: 63.80 %, Temp: 19.50 Celsius
20:01:50.979 -> Humidity: 69.20 %, Temp: 19.60 Celsius
20:01:52.987 -> Humidity: 74.50 %, Temp: 19.70 Celsius
20:01:55.003 -> Humidity: 79.70 %, Temp: 19.90 Celsius
